"country","iso3","year","region","population","production_co2","consumption_co2","net_embodied_carbon","production_co2_per_capita","consumption_co2_per_capita","net_embodied_carbon_per_capita","responsibility_type","longitude","latitude","iso_num"
"Japan","JPN","2003","Asia","127671254","1.284","1.504","0.22","10.06","11.78","1.72","net_importer","138","36","392"
"Kazakhstan","KAZ","2003","Asia","15747377","0.175","0.131","-0.044","11.11","8.32","-2.79","net_exporter","68","48","398"
"Malaysia","MYS","2003","Asia","24679604","0.153","0.13","-0.023","6.22","5.27","-0.95","net_exporter","102","4","458"
"Mexico","MEX","2003","North America","102978517","0.436","0.469","0.033","4.23","4.56","0.33","net_importer","-102","23","484"
"Netherlands","NLD","2003","Europe","16366914","0.18","0.176","-0.004","11.01","10.74","-0.27","net_exporter","5","52","528"
"New Zealand","NZL","2003","Oceania","4022585","0.036","0.04","0.004","9","9.94","0.94","net_importer","174","-41","554"
"Nigeria","NGA","2003","Africa","137202646","0.1","0.076","-0.024","0.73","0.55","-0.18","balanced","8","9","566"
"Norway","NOR","2003","Europe","4564666","0.044","0.049","0.005","9.62","10.63","1.01","net_importer","8","61","578"
"Pakistan","PAK","2003","Asia","167110250","0.113","0.121","0.008","0.68","0.72","0.04","balanced","70","30","586"
"Philippines","PHL","2003","Asia","84731836","0.07","0.091","0.021","0.82","1.07","0.25","net_importer","122","13","608"
"Poland","POL","2003","Europe","38203527","0.319","0.289","-0.03","8.34","7.57","-0.77","net_exporter","20","52","616"
"Portugal","PRT","2003","Europe","10454246","0.064","0.111","0.047","6.17","10.6","4.43","net_importer","-8","39","620"
"Romania","ROU","2003","Europe","21593448","0.104","0.1","-0.004","4.8","4.62","-0.18","balanced","25","46","642"
"Russia","RUS","2003","Europe/Asia","145794230","1.539","1.17","-0.369","10.56","8.03","-2.53","net_exporter","90","60","643"
"Saudi Arabia","SAU","2003","Middle East","18786771","0.351","0.317","-0.034","18.7","16.89","-1.81","net_exporter","45","24","682"
"South Africa","ZAF","2003","Africa","48500351","0.404","0.275","-0.129","8.34","5.67","-2.67","net_exporter","24","-29","710"
"South Korea","KOR","2003","Asia","47514158","0.485","0.549","0.064","10.21","11.56","1.35","net_importer","128","36","410"
"Spain","ESP","2003","Europe","42506540","0.336","0.369","0.033","7.89","8.68","0.79","net_importer","-4","40","724"
"Sweden","SWE","2003","Europe","8958434","0.057","0.085","0.028","6.39","9.44","3.05","net_importer","15","62","752"
"Switzerland","CHE","2003","Europe","7333451","0.045","0.101","0.056","6.09","13.81","7.72","net_importer","8","47","756"
"Thailand","THA","2003","Asia","64868164","0.191","0.187","-0.004","2.95","2.89","-0.06","balanced","101","15","764"
"Turkey","TUR","2003","Europe/Asia","67831735","0.24","0.249","0.009","3.54","3.67","0.13","balanced","35","39","792"
"Ukraine","UKR","2003","Europe","48315133","0.307","0.219","-0.088","6.36","4.53","-1.83","net_exporter","31","49","804"
"United Arab Emirates","ARE","2003","Middle East","4192465","0.107","0.125","0.018","25.55","29.84","4.29","net_importer","54","24","784"
"United Kingdom","GBR","2003","Europe","59820385","0.572","0.763","0.191","9.56","12.76","3.2","net_importer","-2","54","826"
"United States","USA","2003","North America","289908091","6.006","6.436","0.43","20.72","22.2","1.48","net_importer","-98","39","840"
"Vietnam","VNM","2003","Asia","79563778","0.077","0.059","-0.018","0.97","0.74","-0.23","net_exporter","108","16","704"
"Argentina","ARG","2004","South America","38815915","0.157","0.14","-0.017","4.05","3.6","-0.45","net_exporter","-64","-34","032"
"Australia","AUS","2004","Oceania","20046679","0.382","0.352","-0.03","19.06","17.54","-1.52","net_exporter","134","-25","036"
"Austria","AUT","2004","Europe","8173496","0.078","0.103","0.025","9.51","12.66","3.15","net_importer","14","47","040"
"Bangladesh","BGD","2004","Asia","142902857","0.036","0.038","0.002","0.25","0.26","0.01","balanced","90","24","050"
"Belgium","BEL","2004","Europe","10421298","0.129","0.218","0.089","12.36","20.9","8.54","net_importer","4","51","056"
"Brazil","BRA","2004","South America","182675144","0.361","0.335","-0.026","1.98","1.83","-0.15","balanced","-52","-10","076"
"Canada","CAN","2004","North America","32132680","0.576","0.592","0.016","17.93","18.42","0.49","net_importer","-106","56","124"
"Chile","CHL","2004","South America","16187324","0.059","0.059","0","3.66","3.63","-0.03","balanced","-71","-30","152"
"China","CHN","2004","Asia","1302100316","5.211","4.255","-0.956","4","3.27","-0.73","net_exporter","104","35","156"
"Czechia","CZE","2004","Europe","10261453","0.128","0.116","-0.012","12.5","11.35","-1.15","net_exporter","16","49","203"
"Denmark","DNK","2004","Europe","5404594","0.055","0.068","0.013","10.2","12.65","2.45","net_importer","10","56","208"
"Egypt","EGY","2004","Africa","79477441","0.152","0.132","-0.02","1.91","1.66","-0.25","net_exporter","30","27","818"
"Finland","FIN","2004","Europe","5228147","0.069","0.087","0.018","13.19","16.72","3.53","net_importer","26","64","246"
"France","FRA","2004","Europe","61175244","0.414","0.535","0.121","6.77","8.74","1.97","net_importer","2","46","250"
"Germany","DEU","2004","Europe","82092706","0.877","1.037","0.16","10.68","12.64","1.96","net_importer","10","51","276"
"Greece","GRC","2004","Europe","10947369","0.109","0.124","0.015","10","11.34","1.34","net_importer","22","39","300"
"Hungary","HUN","2004","Europe","10085788","0.06","0.083","0.023","5.95","8.27","2.32","net_importer","20","47","348"
"India","IND","2004","Asia","1135991509","1.135","1.043","-0.092","1","0.92","-0.08","balanced","78","22","356"
"Indonesia","IDN","2004","Asia","227926649","0.343","0.318","-0.025","1.5","1.39","-0.11","balanced","113","-2","360"
"Iran","IRN","2004","Middle East","70256316","0.442","0.385","-0.057","6.29","5.48","-0.81","net_exporter","53","32","364"
"Ireland","IRL","2004","Europe","4066066","0.046","0.064","0.018","11.35","15.77","4.42","net_importer","-8","53","372"
"Israel","ISR","2004","Middle East","6615084","0.059","0.075","0.016","8.87","11.31","2.44","net_importer","35","31","376"
"Italy","ITA","2004","Europe","58176736","0.501","0.607","0.106","8.61","10.43","1.82","net_importer","12","43","380"
"Japan","JPN","2004","Asia","127815769","1.279","1.507","0.228","10.01","11.79","1.78","net_importer","138","36","392"
"Kazakhstan","KAZ","2004","Asia","15850164","0.185","0.138","-0.047","11.7","8.68","-3.02","net_exporter","68","48","398"
"Malaysia","MYS","2004","Asia","25256773","0.17","0.14","-0.03","6.72","5.54","-1.18","net_exporter","102","4","458"
"Mexico","MEX","2004","North America","104394131","0.439","0.491","0.052","4.2","4.7","0.5","net_importer","-102","23","484"
"Netherlands","NLD","2004","Europe","16425562","0.182","0.185","0.003","11.09","11.24","0.15","balanced","5","52","528"
"New Zealand","NZL","2004","Oceania","4083912","0.036","0.041","0.005","8.77","10.09","1.32","net_importer","174","-41","554"
"Nigeria","NGA","2004","Africa","141057045","0.095","0.08","-0.015","0.67","0.57","-0.1","balanced","8","9","566"
"Norway","NOR","2004","Europe","4591739","0.044","0.052","0.008","9.64","11.4","1.76","net_importer","8","61","578"
"Pakistan","PAK","2004","Asia","171285999","0.125","0.14","0.015","0.73","0.82","0.09","balanced","70","30","586"
"Philippines","PHL","2004","Asia","86394510","0.072","0.093","0.021","0.83","1.08","0.25","net_importer","122","13","608"
